#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ANY_FORT_STARTS;Any Fort;Tout fort;Beliebige Festung;;Cualquier fortaleza;;;;;;;;x
BUILD_EXTRA_HOLDING;Build a new $TYPE$;Établir une nouvelle propriété de type '$TYPE$';Neu bauen: $TYPE$;;Construir un nuevo / una nueva $TYPE$;;;;;;;;;x
BUILDING_CAPITAL;Building in §Y$CAPITAL$§!: $BONUS$;Construction à §Y$CAPITAL$§! : $BONUS$;Gebäude in §Y$CAPITAL$§!: $BONUS$;;Edificio en §Y$CAPITAL$§!: $BONUS$;;;;;;;;;x
CONFIRM_BUILD_EXTRA_HOLDING_DESC;Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!;Voulez-vous vraiment établir votre $TYPE$?\nVous devrez payer §Y$COST$§!¤ et la construction s'achèvera le §Y$FINISHED$§!;$TYPE$ wirklich bauen?\nDies kostet §Y$COST$§!¤, Fertigstellung am §Y$FINISHED$§!.;;¿Estás seguro/a de que desea construir un/a $TYPE$?\n Te costará §Y$COST$§!¤ estará terminado en §Y$FINISHED$§!;;;;;;;;;x
CONFIRM_BUILD_EXTRA_HOLDING_TITLE;Build $TYPE$;Établir une propriété de type '$TYPE$';$TYPE$ bauen;;Construye $TYPE$;;;;;;;;;x
CONTROLS_PROVINCE;Controls §Y$PROVINCE$§!;Contrôle §Y$PROVINCE$§!.;Kontrolliert §Y$PROVINCE$§!.;;Controla §Y$PROVINCE$§!.;;;;;;;;;x
CREATE_EXTRA_HOLDING_EFFECT;Creates a $TYPE$ in $LOCATION$;Crée une propriété de type '$TYPE$' en $LOCATION$;Baut $TYPE$ in $LOCATION$;;Crear $TYPE$ en $LOCATION$;;;;;;;;;x
denied_wrestling;Declined Wrestling Contest;Combat de lutte refusé;Ringkampfherausforderung abgelehnt;;Rechazo torneo de lucha.;;;;;;;;;x
denied_wrestling_desc;This character declined a challenge to a wrestling contest.;Ce personnage a refusé un défi de lutte.;Diese Person lehnte die Herausforderung zum Ringkampf ab.;;Este personaje ha rechazado un desafío en un torneo de lucha.;;;;;;;;;x
DESTROY_EXTRA_HOLDING_EFFECT;The $TYPE$ in $LOCATION$ is destroyed;La propriété de type '$TYPE$' est détruite en $LOCATION$;$TYPE$ in $LOCATION$ wurde zerstört;;El $TYPE$ en $LOCATION$ fue destruido;;;;;;;;x
EXTRA_HOLDING_UNDER_CON;$TYPE$ Under Construction;$TYPE$ en construction;$TYPE$ wird gebaut;;$TYPE$ en construcción;;;;;;;;;x
EXTRA_HOLDING_UNDER_CONSTRUCTION;$TYPE$ under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!;§Y$BUILDER$§! est en train d'établir une propriété de type '$TYPE$'.\nCe sera terminé le §Y$DATE$§!;§Y$BUILDER$§! baut $TYPE$\nFertigstellung am §Y$DATE$§!;;$TYPE$ en construcción por §Y$BUILDER$§!\n Estará terminado en §Y$DATE$§!;;;;;;;;;x
FORT_PROV;Fort of $PROV$;Fort de $PROV$;Festung in $PROV$;;Fortaleza de $PROV$;;;;;;;;x
FROM_FORTS;From Forts: §G$AMOUNT$§!\n;Provenant des forts : §G$AMOUNT$§!\n;Von Festungen: §G$AMOUNT$§!\n;;De fortalezas: §G$AMOUNT$§!\n;;;;;;;;x
GOVERNMENT_ALLOWS_BUILDING;§Y$GOVERNMENT$§! Government allows building §Y$TYPE$§!;Un gouvernement de type '§Y$GOVERNMENT$§!' permet de construire '§Y$TYPE$§!';§Y$GOVERNMENT$§! ermöglicht Bau von §Y$TYPE$§!;;§Y$GOVERNMENT$§! Gobierno permite construir §Y$TYPE$§!;;;;;;;;;x
HAS_EXTRA_HOLDING;Has $TYPE$;Possède une propriété de type '$TYPE$';Hat $TYPE$;;Tiene $TYPE$;;;;;;;;x
has_fewer_fort_than;Has fewer than §Y$NUM$§! Forts;Possède moins de §Y$NUM$§! forts;Hat weniger als §Y$NUM$§! Festungen;;Tiene menos de §Y$NUM$§! fortalezas;;;;;;;;x
has_more_fort_than;Has at least §Y$NUM$§! Forts;Possède au moins §Y$NUM$§! forts;Hat mindestens §Y$NUM$§! Festungen;;Tiene por lo menos §Y$NUM$§! fortalezas;;;;;;;;x
HAS_NOT_EXTRA_HOLDING;Does NOT have $TYPE$;Ne possède pas une propriété de type '$TYPE$';Hat KEINE $TYPE$;;NO tiene $TYPE$;;;;;;;;x
HAS_SETTLEMENT;Have a $TYPE$;Possède un '$TYPE$';$TYPE$ vorhanden;;Tiene un $TYPE$;;;;;;;;;x
HAS_SETTLEMENT_CONSTRUCTION;Have a settlement construction;Possède une construction coloniale;Siedlungsbau im Gange;;Tiene una construcción de asentamientos;;;;;;;;;x
hoarse;Hoarse;Voix éraillée;Heiser;;Ronco;;;;;;;;;x
