From;To;Type;Through;Xfrom;Yfrom;Xto;Yto;Comment
3;72;sea;1946;-1;-1;-1;-1;Ulster - Galloway
3;75;sea;1946;-1;-1;-1;-1;Ulster - Argyll					# Straits
72;71;sea;1946;-1;-1;-1;-1;Galloway - Isle of Man
75;76;sea;1945;-1;-1;-1;-1;Argyll - Iona
77;76;sea;1945;-1;-1;-1;-1;Innse Gall - Iona
77;83;sea;1945;-1;-1;-1;-1;Innse Gall - Moray
77;84;sea;1945;-1;-1;-1;-1;Innse Gall - Ross
23;24;sea;1947;-1;-1;-1;-1;Gwynedd - Anglesey
19;20;sea;1947;-1;-1;-1;-1;Leinster - Dyfed
41;42;sea;1951;-1;-1;-1;-1;Winchester - Wight
47;44;sea;1952;-1;-1;-1;-1;Essex-Kent
86;85;sea;1956;-1;-1;-1;-1;Orkney - Caithness
262;268;sea;1965;-1;-1;-1;-1;Zeeland - Brugge
262;261;sea;1965;-1;-1;-1;-1;Zeeland - Holland
262;264;sea;1965;-1;-1;-1;-1;Zeeland - Breda
262;267;sea;1965;-1;-1;-1;-1;Zeeland - Gent
260;259;sea;1965;-1;-1;-1;-1;Westfriesland - Frisia
403;1667;sea;1930;-1;-1;-1;-1;Algeciras - Ceuta
403;1668;sea;1930;-1;-1;-1;-1;Algeciras - Tangier
176;177;sea;1966;-1;-1;-1;-1;Dithmarschen - Hadeln
176;178;sea;1966;-1;-1;-1;-1;Dithmarschen - Bremen
174;169;sea;1968;-1;-1;-1;-1;Slesvig - Fyn
170;169;sea;1968;-1;-1;-1;-1;Aarhus - Fyn
169;167;sea;1968;-1;-1;-1;-1;Fyn - Sjaelland
167;165;sea;1968;-1;-1;-1;-1;Sjaelland - Skåne
169;168;sea;1968;-1;-1;-1;-1;Fyn -  Lolland
167;168;sea;1968;-1;-1;-1;-1;Sjaelland - Lolland
175;168;sea;1968;-1;-1;-1;-1;Holstein - Lolland
165;164;sea;1969;-1;-1;-1;-1;Skåne - Bornholm
145;147;sea;1972;-1;-1;-1;-1;Uppland - Åland
145;146;sea;1862;-1;-1;-1;-1;Uppland - Södermanland
147;137;sea;1972;-1;-1;-1;-1;Åland - Suomi
150;149;sea;1970;-1;-1;-1;-1;Möre - Öland
148;152;sea;1970;-1;-1;-1;-1;Gotland - Tjust
731;733;sea;1968;-1;-1;-1;-1;Rügen - Wolgast
731;730;sea;1968;-1;-1;-1;-1;Rügen - Rostock
731;732;sea;1968;-1;-1;-1;-1;Rügen - Werle
433;432;sea;1921;-1;-1;-1;-1;Cinarca - Gallura
484;485;sea;1911;-1;-1;-1;-1;Reggio - Messina
775;785;sea;1971;-1;-1;-1;-1;Tukums - Saaremaa
785;784;sea;1971;-1;-1;-1;-1;Saaremaa - Liivimaa
510;507;sea;1907;-1;-1;-1;-1;Árta - Cephalonia
506;507;sea;1907;-1;-1;-1;-1;Zakynthos - Cephalonia
506;505;sea;1907;-1;-1;-1;-1;Zakynthos - Achaia
509;505;sea;1907;-1;-1;-1;-1;Naupaktos - Achaia
508;511;sea;1908;-1;-1;-1;-1;Korkyra - Épeiros
479;515;sea;1908;-1;-1;-1;-1;Lecce - Avlonas
561;562;sea;1895;-1;-1;-1;-1;Rhodos - Lykia
493;494;sea;1896;-1;-1;-1;-1;Naxos - Euboia
560;559;sea;1894;-1;-1;-1;-1;Chios - Ephesos
542;543;sea;1894;-1;-1;-1;-1;Lesbos - Abydos
539;543;sea;1892;-1;-1;-1;-1;Kaliopolis - Abydos
541;545;sea;1992;-1;-1;-1;-1;Constantinople - Nikomedia
649;650;sea;1888;-1;-1;-1;-1;Korchev - Tmutarakan
